business_type,c1_strategic_weight,c2_roi_weight,c3_feasibility_weight,c4_goal_alignment_weight,c5_urgency_weight,c1_description,c2_description,c3_description,c4_description,c5_description
manufacturing,0.30,0.25,0.20,0.15,0.10,همسویی با استراتژی تولید,بازده سرمایه در تولید,امکان‌پذیری فنی تولید,هم‌راستایی با KPI تولید,فوریت رفع شکاف تولید
service,0.25,0.30,0.15,0.20,0.10,همسویی با استراتژی خدمت,بازده سرمایه خدمت,امکان‌پذیری ارائه خدمت,هم‌راستایی با KPI خدمت,فوریت رفع شکاف خدمت
rto,0.20,0.25,0.25,0.15,0.15,همسویی با استراتژی پژوهش,بازده تجاری‌سازی,امکان‌پذیری فناوری,هم‌راستایی با KPI پژوهشی,فوریت ثبت/توسعه فناوری
holding,0.35,0.25,0.15,0.15,0.10,همسویی با استراتژی هلدینگ,بازده سرمایه گروهی,امکان‌پذیری هلدینگی,هم‌راستایی با KPI هلدینگ,فوریت حفظ مزیت گروه
